GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,YEAR.id,ESTAB,RCPTOT,PAYANN,EMP,NESTAB,NRCPTOT
0100000US,,United States,3133,Textile and fabric finishing and fabric coating mills,99,Total,2007,1272,9211647,1469974,43456,N,N
0100000US,,United States,3141,Textile furnishings mills,99,Total,2007,2553,18639885,2163550,75879,N,N
0100000US,,United States,3149,Other textile product mills,99,Total,2007,4141,10042279,2111773,71493,N,N
0100000US,,United States,3151,Apparel knitting mills,99,Total,2007,413,2973575,538271,20454,N,N
0100000US,,United States,3152,Cut and sew apparel manufacturing,99,Total,2007,7382,19230907,3246126,135052,N,N
0100000US,,United States,3159,Apparel accessories and other apparel manufacturing,99,Total,2007,723,1421756,335361,13469,N,N
0100000US,,United States,3161,Leather and hide tanning and finishing,99,Total,2007,239,1418166,162953,4467,1323,35918
0100000US,,United States,3162,Footwear manufacturing,99,Total,2007,257,1744425,373585,12931,744,26952
0100000US,,United States,3169,Other leather and allied product manufacturing,99,Total,2007,804,2293266,471818,16567,3107,104683
0100000US,,United States,3211,Sawmills and wood preservation,99,Total,2007,4102,27911240,3642165,103413,N,N
0100000US,,United States,3212,"Veneer, plywood, and engineered wood product manufacturing",99,Total,2007,1956,22023577,3790727,106093,N,N
0100000US,,United States,3219,Other wood product manufacturing,99,Total,2007,10810,51777100,9993940,314393,N,N
0100000US,,United States,3221,"Pulp, paper, and paperboard mills",99,Total,2007,486,80550214,7925398,125483,N,N
0100000US,,United States,3222,Converted paper product manufacturing,99,Total,2007,4502,96137427,12933371,292758,N,N
0100000US,,United States,3231,Printing and related support activities,99,Total,2007,33817,103018470,25757320,646183,29550,1530959
0100000US,,United States,3241,Petroleum and coal products manufacturing,99,Total,2007,2283,615484030,8508950,105775,1883,120352
0100000US,,United States,3251,Basic chemical manufacturing,99,Total,2007,2484,226129195,10585682,152995,843,48892
0100000US,,United States,3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",99,Total,2007,1338,100865467,5720248,96485,436,31700
0100000US,,United States,3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",99,Total,2007,904,29155483,1552680,27838,588,38976
0100000US,,United States,3254,Pharmaceutical and medicine manufacturing,99,Total,2007,2010,188399027,18330441,248400,1482,68771
0100000US,,United States,3255,"Paint, coating, and adhesive manufacturing",99,Total,2007,1970,34070322,3381463,64619,1817,92706
0100000US,,United States,3256,"Soap, cleaning compound, and toilet preparation manufacturing",99,Total,2007,2281,91345632,5546508,106571,2530,72443
0100000US,,United States,3259,Other chemical product and preparation manufacturing,99,Total,2007,2802,46187347,5117741,103442,2177,154872
0100000US,,United States,3261,Plastics product manufacturing,99,Total,2007,12136,170467731,26321024,700000,N,N
0100000US,,United States,3262,Rubber product manufacturing,99,Total,2007,2211,38867810,6550857,148708,N,N
0100000US,,United States,3271,Clay product and refractory manufacturing,99,Total,2007,1486,8657985,1868449,47868,3051,61206
0100000US,,United States,3272,Glass and glass product manufacturing,99,Total,2007,2078,23338253,4261664,98897,3203,113845
0100000US,,United States,3273,Cement and concrete product manufacturing,99,Total,2007,10090,67211990,9717274,232444,1761,119309
0100000US,,United States,3274,Lime and gypsum product manufacturing,99,Total,2007,346,7603129,854716,16202,128,5838
0100000US,,United States,3279,Other nonmetallic mineral product manufacturing,99,Total,2007,3557,21167227,3585158,83137,1923,109564
0100000US,,United States,3311,Iron and steel mills and ferroalloy manufacturing,99,Total,2007,372,101608658,7236801,108456,N,N
0100000US,,United States,3312,Steel product manufacturing from purchased steel,99,Total,2007,624,22942843,2208872,48571,N,N
0100000US,,United States,3313,Alumina and aluminum production and processing,99,Total,2007,578,41807527,3053577,61296,N,N
0100000US,,United States,3314,Nonferrous metal (except aluminum) production and processing,99,Total,2007,1007,57460792,3366021,65372,N,N
0100000US,,United States,3315,Foundries,99,Total,2007,2139,33031235,6790191,155130,N,N
0100000US,,United States,3321,Forging and stamping,99,Total,2007,2767,33510549,5604853,126543,N,N
0100000US,,United States,3322,Cutlery and handtool manufacturing,99,Total,2007,1513,11009493,2248122,50716,N,N
0100000US,,United States,3323,Architectural and structural metals manufacturing,99,Total,2007,14225,91084021,16965097,425073,N,N
0100000US,,United States,3324,"Boiler, tank, and shipping container manufacturing",99,Total,2007,1560,31703765,4491298,92658,N,N
0100000US,,United States,3325,Hardware manufacturing,99,Total,2007,777,9587447,1646806,39347,N,N
0100000US,,United States,3326,Spring and wire product manufacturing,99,Total,2007,1580,9603058,1898072,50455,N,N
0100000US,,United States,3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",99,Total,2007,25446,60974464,17064499,403174,N,N
0100000US,,United States,3328,"Coating, engraving, heat treating, and allied activities",99,Total,2007,6178,26619757,5301808,140423,N,N
0100000US,,United States,3329,Other fabricated metal product manufacturing,99,Total,2007,6849,71074121,12488576,283586,N,N
0100000US,,United States,3331,"Agriculture, construction, and mining machinery manufacturing",99,Total,2007,3038,88479308,9752589,206734,N,N
0100000US,,United States,3332,Industrial machinery manufacturing,99,Total,2007,3963,39639675,7755021,137511,N,N
0100000US,,United States,3333,Commercial and service industry machinery manufacturing,99,Total,2007,2166,22941141,4194719,87687,N,N
0100000US,,United States,3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",99,Total,2007,1860,40503880,5902959,148879,N,N
0100000US,,United States,3335,Metalworking machinery manufacturing,99,Total,2007,7902,28970062,8411308,168517,N,N
0100000US,,United States,3336,"Engine, turbine, and power transmission equipment manufacturing",99,Total,2007,997,42102649,5083663,101428,N,N
0100000US,,United States,3339,Other general purpose machinery manufacturing,99,Total,2007,6489,87862770,15054727,302097,N,N
0100000US,,United States,3341,Computer and peripheral equipment manufacturing,99,Total,2007,1294,65389337,5410967,90670,N,N
0100000US,,United States,3342,Communications equipment manufacturing,99,Total,2007,1789,65414870,9450090,145490,N,N
0100000US,,United States,3343,Audio and video equipment manufacturing,99,Total,2007,492,7550485,743946,16318,N,N
0100000US,,United States,3344,Semiconductor and other electronic component manufacturing,99,Total,2007,4848,122719738,20049972,371623,N,N
0100000US,,United States,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",99,Total,2007,5360,128205631,28996175,407741,N,N
0100000US,,United States,3346,Manufacturing and reproducing magnetic and optical media,99,Total,2007,819,6448935,1339948,29266,N,N
0100000US,,United States,3351,Electric lighting equipment manufacturing,99,Total,2007,1216,13822061,2370782,58211,N,N
0100000US,,United States,3352,Household appliance manufacturing,99,Total,2007,337,23293741,2449770,64427,N,N
0100000US,,United States,3353,Electrical equipment manufacturing,99,Total,2007,2415,42007902,6659447,144618,N,N
0100000US,,United States,3359,Other electrical equipment and component manufacturing,99,Total,2007,2318,50056367,7268116,157702,N,N
0100000US,,United States,3361,Motor vehicle manufacturing,99,Total,2007,379,258204960,13355573,179362,N,N
0100000US,,United States,3362,Motor vehicle body and trailer manufacturing,99,Total,2007,2215,36255825,5575070,145863,N,N
0100000US,,United States,3363,Motor vehicle parts manufacturing,99,Total,2007,5742,206240940,28209409,584440,N,N
0100000US,,United States,3364,Aerospace product and parts manufacturing,99,Total,2007,1706,177562553,29816048,441418,N,N
0100000US,,United States,3365,Railroad rolling stock manufacturing,99,Total,2007,240,13216839,1580531,29222,N,N
0100000US,,United States,3366,Ship and boat building,99,Total,2007,1791,29207356,6711641,151736,N,N
0100000US,,United States,3369,Other transportation equipment manufacturing,99,Total,2007,998,25258911,2265123,47509,N,N
0100000US,,United States,3371,Household and institutional furniture and kitchen cabinet manufacturing,99,Total,2007,16355,48024336,10452978,332447,N,N
0100000US,,United States,3372,Office furniture (including fixtures) manufacturing,99,Total,2007,4357,26690119,5626571,139707,N,N
0100000US,,United States,3379,Other furniture related product manufacturing,99,Total,2007,1034,10334724,1475024,41753,N,N
0100000US,,United States,3391,Medical equipment and supplies manufacturing,99,Total,2007,12214,78834755,15528974,317894,5999,381043
0100000US,,United States,3399,Other miscellaneous manufacturing,99,Total,2007,20019,70078626,13518475,346643,63668,2781724
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,2007,26905,670929730,17520941,393094,16944,2444368
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,26125,341227629,15530842,364029,N,N
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,20,Manufacturers' sales branches and offices,2007,780,329702101,1990099,29065,N,N
0100000US,,United States,4232,Furniture and home furnishing merchant wholesalers,00,Wholesale Trade,2007,14494,92477537,8111912,175451,15317,1258682
0100000US,,United States,4232,Furniture and home furnishing merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,14180,69112141,7341735,162163,N,N
0100000US,,United States,4232,Furniture and home furnishing merchant wholesalers,20,Manufacturers' sales branches and offices,2007,314,23365396,770177,13288,N,N
0100000US,,United States,4233,Lumber and other construction materials merchant wholesalers,00,Wholesale Trade,2007,19662,171361045,12801138,280014,8817,1016707
0100000US,,United States,4233,Lumber and other construction materials merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,17781,126543709,11030415,244326,N,N
0100000US,,United States,4233,Lumber and other construction materials merchant wholesalers,20,Manufacturers' sales branches and offices,2007,1881,44817336,1770723,35688,N,N
0100000US,,United States,4234,Professional and commercial equipment and supplies merchant wholesalers,00,Wholesale Trade,2007,35735,485743249,54327009,757457,10755,1121155
0100000US,,United States,4234,Professional and commercial equipment and supplies merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,32696,354303801,36697130,556235,N,N
0100000US,,United States,4234,Professional and commercial equipment and supplies merchant wholesalers,20,Manufacturers' sales branches and offices,2007,3039,131439448,17629879,201222,N,N
0100000US,,United States,4235,Metal and mineral (except petroleum) merchant wholesalers,00,Wholesale Trade,2007,11310,227048447,9322139,165857,3241,503901
0100000US,,United States,4235,Metal and mineral (except petroleum) merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,10567,165860496,8206521,148574,N,N
0100000US,,United States,4235,Metal and mineral (except petroleum) merchant wholesalers,20,Manufacturers' sales branches and offices,2007,743,61187951,1115618,17283,N,N
0100000US,,United States,4236,Electrical and electronic goods merchant wholesalers,00,Wholesale Trade,2007,31088,453030209,38015640,508041,10948,1281971
0100000US,,United States,4236,Electrical and electronic goods merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,29610,348959682,30416462,441014,N,N
0100000US,,United States,4236,Electrical and electronic goods merchant wholesalers,20,Manufacturers' sales branches and offices,2007,1478,104070527,7599178,67027,N,N
0100000US,,United States,4237,"Hardware, plumbing and heating equipment and supplies merchant wholesalers",00,Wholesale Trade,2007,20707,132258552,12400317,248172,5157,541168
0100000US,,United States,4237,"Hardware, plumbing and heating equipment and supplies merchant wholesalers",10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,20103,112204851,11359966,231153,N,N
0100000US,,United States,4237,"Hardware, plumbing and heating equipment and supplies merchant wholesalers",20,Manufacturers' sales branches and offices,2007,604,20053701,1040351,17019,N,N
0100000US,,United States,4238,"Machinery, equipment, and supplies merchant wholesalers",00,Wholesale Trade,2007,60839,429558998,38764729,743510,19750,2703030
0100000US,,United States,4238,"Machinery, equipment, and supplies merchant wholesalers",10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,58310,328820009,34775990,684107,N,N
0100000US,,United States,4238,"Machinery, equipment, and supplies merchant wholesalers",20,Manufacturers' sales branches and offices,2007,2529,100738989,3988739,59403,N,N
0100000US,,United States,4239,Miscellaneous durable goods merchant wholesalers,00,Wholesale Trade,2007,34235,235683865,15555366,347209,110784,8932673
0100000US,,United States,4239,Miscellaneous durable goods merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,34043,227435392,15033158,340091,N,N
0100000US,,United States,4239,Miscellaneous durable goods merchant wholesalers,20,Manufacturers' sales branches and offices,2007,192,8248473,522208,7118,N,N
0100000US,,United States,4241,Paper and paper product merchant wholesalers,00,Wholesale Trade,2007,12095,139600793,8791756,179656,7173,565079
0100000US,,United States,4241,Paper and paper product merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,11366,91263644,7224673,145717,N,N
0100000US,,United States,4241,Paper and paper product merchant wholesalers,20,Manufacturers' sales branches and offices,2007,729,48337149,1567083,33939,N,N
0100000US,,United States,4242,Drugs and druggists' sundries merchant wholesalers,00,Wholesale Trade,2007,8535,562328335,19540671,259412,2942,234006
0100000US,,United States,4242,Drugs and druggists' sundries merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,8040,351783420,9857347,159693,N,N
0100000US,,United States,4242,Drugs and druggists' sundries merchant wholesalers,20,Manufacturers' sales branches and offices,2007,495,210544915,9683324,99719,N,N
0100000US,,United States,4243,"Apparel, piece goods, and notions merchant wholesalers",00,Wholesale Trade,2007,17117,148153988,11563887,231777,23504,1744280
0100000US,,United States,4243,"Apparel, piece goods, and notions merchant wholesalers",10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,16948,139674113,11317095,227363,N,N
0100000US,,United States,4243,"Apparel, piece goods, and notions merchant wholesalers",20,Manufacturers' sales branches and offices,2007,169,8479875,246792,4414,N,N
0100000US,,United States,4244,Grocery and related product merchant wholesalers,00,Wholesale Trade,2007,33794,667142792,34226140,779251,28353,3684027
0100000US,,United States,4244,Grocery and related product merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,30265,475771226,25812688,606450,N,N
0100000US,,United States,4244,Grocery and related product merchant wholesalers,20,Manufacturers' sales branches and offices,2007,3529,191371566,8413452,172801,N,N
0100000US,,United States,4245,Farm product raw material merchant wholesalers,00,Wholesale Trade,2007,6628,145787457,2567065,61138,4578,507620
0100000US,,United States,4245,Farm product raw material merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,6628,145787457,2567065,61138,N,N
0100000US,,United States,4246,Chemical and allied products merchant wholesalers,00,Wholesale Trade,2007,13558,182177398,9471195,152877,3871,426698
0100000US,,United States,4246,Chemical and allied products merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,11778,102257221,6729733,116511,N,N
0100000US,,United States,4246,Chemical and allied products merchant wholesalers,20,Manufacturers' sales branches and offices,2007,1780,79920177,2741462,36366,N,N
0100000US,,United States,4247,Petroleum and petroleum products merchant wholesalers,00,Wholesale Trade,2007,7871,764072871,6279228,105104,2327,300925
0100000US,,United States,4247,Petroleum and petroleum products merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,7097,486908738,5341664,94279,N,N
0100000US,,United States,4247,Petroleum and petroleum products merchant wholesalers,20,Manufacturers' sales branches and offices,2007,774,277164133,937564,10825,N,N
0100000US,,United States,4248,"Beer, wine, and distilled alcoholic beverage merchant wholesalers",00,Wholesale Trade,2007,4183,115571062,9026470,180204,3968,358071
0100000US,,United States,4248,"Beer, wine, and distilled alcoholic beverage merchant wholesalers",10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,4115,103824809,8599609,173370,N,N
0100000US,,United States,4248,"Beer, wine, and distilled alcoholic beverage merchant wholesalers",20,Manufacturers' sales branches and offices,2007,68,11746253,426861,6834,N,N
0100000US,,United States,4249,Miscellaneous nondurable goods merchant wholesalers,00,Wholesale Trade,2007,30833,266064715,14555999,370367,75219,5277231
0100000US,,United States,4249,Miscellaneous nondurable goods merchant wholesalers,10,"Merchant wholesalers, except manufacturers' sales branches and offices",2007,29735,202548178,12690037,342332,N,N
0100000US,,United States,4249,Miscellaneous nondurable goods merchant wholesalers,20,Manufacturers' sales branches and offices,2007,1098,63516537,1865962,28035,N,N
0100000US,,United States,4251,Wholesale electronic markets and agents and brokers,00,Wholesale Trade,2007,45394,626717511,13365174,288798,48215,2920948
0100000US,,United States,4411,Automobile dealers,99,Total,2007,51181,753736841,54271140,1268015,101168,14724095
0100000US,,United States,4412,Other motor vehicle dealers,99,Total,2007,17238,64881628,6017608,170902,37714,3355040
0100000US,,United States,4413,"Automotive parts, accessories, and tire stores",99,Total,2007,58360,72418277,12515974,475549,36782,2682412
0100000US,,United States,4421,Furniture stores,99,Total,2007,28834,58172947,7975034,266374,17847,1199280
0100000US,,United States,4422,Home furnishings stores,99,Total,2007,36310,50047134,6907599,291103,30703,1915707
0100000US,,United States,4431,Electronics and appliance stores,99,Total,2007,50803,109014992,11219666,486483,33466,1834409
0100000US,,United States,4441,Building material and supplies dealers,99,Total,2007,70818,281870986,33571408,1164426,29170,2322480
0100000US,,United States,4442,Lawn and garden equipment and supplies stores,99,Total,2007,20252,36449285,4138583,166896,11597,670921
0100000US,,United States,4451,Grocery stores,99,Total,2007,90391,487107416,49896890,2551212,47368,4734815
0100000US,,United States,4452,Specialty food stores,99,Total,2007,24208,15786499,2166623,134695,48274,2925140
0100000US,,United States,4453,"Beer, wine, and liquor stores",99,Total,2007,31485,36313659,2592081,141255,12198,1997578
0100000US,,United States,4461,Health and personal care stores,99,Total,2007,88452,234026783,28414937,1068186,145544,3382958
0100000US,,United States,4471,Gasoline stations,99,Total,2007,118756,450413061,14670825,890829,10131,1552957
0100000US,,United States,4481,Clothing stores,99,Total,2007,99425,158048258,19266582,1273140,90229,3729464
0100000US,,United States,4482,Shoe stores,99,Total,2007,28076,26509421,3233039,207945,5323,319393
0100000US,,United States,4483,"Jewelry, luggage, and leather goods stores",99,Total,2007,28967,31089498,4355660,162940,45970,1895781
0100000US,,United States,4511,"Sporting goods, hobby, and musical instrument stores",99,Total,2007,41784,59762462,7073446,440573,60871,2973799
0100000US,,United States,4512,Book stores and news dealers,99,Total,2007,15631,21321853,2392473,178502,29030,909112
0100000US,,United States,4521,Department stores,99,Total,2007,8534,209391428,22212882,1224454,N,N
0100000US,,United States,4529,Other general merchandise stores,99,Total,2007,37321,367706767,32200673,1539020,N,N
0100000US,,United States,4531,Florists,99,Total,2007,19822,6285503,1400307,93967,25609,991405
0100000US,,United States,4532,"Office supplies, stationery, and gift stores",99,Total,2007,40949,38995623,4900535,306051,66009,2383894
0100000US,,United States,4533,Used merchandise stores,99,Total,2007,17994,9379697,2159158,131901,59716,1747248
0100000US,,United States,4539,Other miscellaneous store retailers,99,Total,2007,43146,49407398,5937730,260186,145049,8656029
0100000US,,United States,4541,Electronic shopping and mail-order houses,99,Total,2007,21877,220656247,14652223,352187,84188,3226894
0100000US,,United States,4542,Vending machine operators,99,Total,2007,5194,6993135,1361975,50811,29005,899707
0100000US,,United States,4543,Direct selling establishments,99,Total,2007,32304,61876658,7313636,217794,743208,15483148
0100000US,,United States,4811(101),Scheduled air transportation(101),99,Total,2007,3129,133196227,23609964,438375,N,N
0100000US,,United States,4812,Nonscheduled air transportation,99,Total,2007,2532,13416232,2510031,39782,N,N
0100000US,,United States,4831,"Deep sea, coastal, and great lakes water transportation",99,Total,2007,1126,28512770,3485938,56398,N,N
0100000US,,United States,4832,Inland water transportation,99,Total,2007,595,5934024,1058542,19599,N,N
0100000US,,United States,4841,General freight trucking,99,Total,2007,66451,142507633,39844650,999075,489206,43816264
0100000US,,United States,4842,Specialized freight trucking,99,Total,2007,53939,75325825,18421650,508848,53303,4111076
0100000US,,United States,4851,Urban transit systems,99,Total,2007,927,2806842,1751493,49023,1153,42550
0100000US,,United States,4852,Interurban and rural bus transportation,99,Total,2007,566,1663484,457553,17880,1700,76946
0100000US,,United States,4853,Taxi and limousine service,99,Total,2007,7235,5913946,1582183,74144,161436,5270033
0100000US,,United States,4854,School and employee bus transportation,99,Total,2007,4501,10074465,3883496,210777,7216,202341
0100000US,,United States,4855,Charter bus industry,99,Total,2007,1326,2487450,751774,31741,3827,193500
0100000US,,United States,4859,Other transit and ground passenger transportation,99,Total,2007,3236,3518424,1417976,61360,26759,973227
0100000US,,United States,4861,Pipeline transportation of crude oil,99,Total,2007,395,3958822,615669,6551,N,N
0100000US,,United States,4862,Pipeline transportation of natural gas,99,Total,2007,1514,17171552,2113954,24202,N,N
0100000US,,United States,4869,Other pipeline transportation,99,Total,2007,620,4587393,489122,6211,N,N
0100000US,,United States,4871,"Scenic and sightseeing transportation, land",99,Total,2007,629,807838,228660,9671,N,N
0100000US,,United States,4872,"Scenic and sightseeing transportation, water",99,Total,2007,1740,1270714,349852,12692,N,N
0100000US,,United States,4879,"Scenic and sightseeing transportation, other",99,Total,2007,173,369046,74826,2023,N,N
0100000US,,United States,4881,Support activities for air transportation,99,Total,2007,5658,18422464,6188597,171076,N,N
0100000US,,United States,4882,Support activities for rail transportation,99,Total,2007,1017,2836559,1021994,27718,N,N
0100000US,,United States,4883,Support activities for water transportation,99,Total,2007,2440,12127507,3338283,68396,N,N
0100000US,,United States,4884,Support activities for road transportation,99,Total,2007,9788,6465558,2159020,76183,N,N
0100000US,,United States,4885,Freight transportation arrangement,99,Total,2007,21809,45093706,11409502,248260,N,N
0100000US,,United States,4889,Other support activities for transportation,99,Total,2007,1418,1650526,461380,16752,N,N
0100000US,,United States,4921,Couriers and express delivery services,99,Total,2007,8670,74391846,19526257,519845,N,N
0100000US,,United States,4922,Local messengers and local delivery,99,Total,2007,4334,3484868,904365,37350,N,N
0100000US,,United States,4931,Warehousing and storage,99,Total,2007,13938,21920686,25526342,720451,8318,541735
0100000US,,United States,5111,"Newspaper, periodical, book, and directory publishers",99,Total,2007,22683,146822683,34504314,706102,N,N
0100000US,,United States,5112,Software publishers,99,Total,2007,8275,135400841,46362593,386945,N,N
0100000US,,United States,5121,Motion picture and video industries,99,Total,2007,20164,79797053,15493750,308740,57879,2168113
0100000US,,United States,5122,Sound recording industries,99,Total,2007,3727,15188638,2141738,27067,20194,540441
0100000US,,United States,5151,Radio and television broadcasting,99,Total,2007,9471,54993717,14325516,249339,N,N
0100000US,,United States,5152,Cable and other subscription programming,99,Total,2007,717,44925687,3750809,45537,N,N
0100000US,,United States,5171,Wired telecommunications carriers,99,Total,2007,33548,290781042,54191537,885429,N,N
0100000US,,United States,5172,Wireless telecommunications carriers (except satellite),99,Total,2007,11973,170583541,16201245,288614,N,N
0100000US,,United States,5174,Satellite telecommunications,99,Total,2007,823,4449919,792784,10146,N,N
0100000US,,United States,5179,Other telecommunications,99,Total,2007,5655,25309439,4215510,66804,N,N
0100000US,,United States,5182,"Data processing, hosting, and related services",99,Total,2007,17129,66651853,26428444,393741,41547,1225248
0100000US,,United States,5191,Other information services,99,Total,2007,7401,37438443,10428347,128309,57346,2288357
0100000US,,United States,5211,Monetary authorities - central bank,99,Total,2007,47(r),44967000(r),1338898(r),19062(r),N,N
0100000US,,United States,5221,Depository credit intermediation,99,Total,2007,125433,759781856,117552337,2143597,7593,227962
0100000US,,United States,5222,Nondepository credit intermediation,99,Total,2007,54660,513274515,47390477,774337,31692,2376474
0100000US,,United States,5223,Activities related to credit intermediation,99,Total,2007,51346,70286514,15961558,362117,53390,1986124
0100000US,,United States,5231,Securities and commodity contracts intermediation and brokerage,99,Total,2007,37478,371499600,92731276,460309,32649,5495858
0100000US,,United States,5232,Securities and commodity exchanges,99,Total,2007,29,D,D,i,1896,577662
0100000US,,United States,5239,Other financial investment activities,99,Total,2007,47968,D,D,m,247130,23544181
0100000US,,United States,5241,Insurance carriers,99,Total,2007,34108,1522579527,103857571,1497402,2935,189216
0100000US,,United States,5242,"Agencies, brokerages, and other insurance related activities",99,Total,2007,150644,146905317,50010311,926081,386241,19953679
0100000US,,United States,5311,Lessors of real estate,99,Total,2007,121296,180650546,18952487,541676,780028,102824839
0100000US,,United States,5312,Offices of real estate agents and brokers,99,Total,2007,109472,84358267,15976628,355215,790738,31459521
0100000US,,United States,5313,Activities related to real estate,99,Total,2007,85962,65428591,26417925,632085,672755,42242090
0100000US,,United States,5321,Automotive equipment rental and leasing,99,Total,2007,13189,44982246,6209260,190260,20336,1057129
0100000US,,United States,5322,Consumer goods rental,99,Total,2007,32956,24750699,5485765,248464,18453,898250
0100000US,,United States,5323,General rental centers,99,Total,2007,4730,4248965,870125,29810,3944,348052
0100000US,,United States,5324,Commercial and industrial machinery and equipment rental and leasing,99,Total,2007,14245,47703110,8558309,161590,39105,4280046
0100000US,,United States,5331,Lessors of nonfinancial intangible assets (except copyrighted works),99,Total,2007,2447,32936173,2294365,29379,1698,154151
0100000US,,United States,5411,Legal services,A,All establishments,2007,191102,239397140,89090011,1203763,255983,15743919
0100000US,,United States,5411,Legal services,T,Establishments subject to federal income tax,2007,188866,236688833,87720468,1176389,N,N
0100000US,,United States,5411,Legal services,Y,Establishments exempt from federal income tax,2007,2236,2708307,1369543,27374,N,N
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,2007,123366,114109492,52522525,1375685,355047,8103135
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,2007,123366,114109492,52522525,1375685,N,N
0100000US,,United States,5413,"Architectural, engineering, and related services",A,All establishments,2007,116090,254201181,97559516,1432209,232376,11419883
0100000US,,United States,5413,"Architectural, engineering, and related services",T,Establishments subject to federal income tax,2007,116090,254201181,97559516,1432209,N,N
0100000US,,United States,5414,Specialized design services,A,All establishments,2007,33337,20554627,6372385,122764,200656,7441415
0100000US,,United States,5414,Specialized design services,T,Establishments subject to federal income tax,2007,33337,20554627,6372385,122764,N,N
